system:index,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,FIRE_YEAR,FireID,JanTMinF1,JanTMinF2,JanTMinF3,JanTMinF4,JanTMinF5,JulTMaxF1,JulTMaxF2,JulTMaxF3,JulTMaxF4,JulTMaxF5,NLCD1992,NLCD2001,NLCD2004,NLCD2006,NLCD2008,NLCD2011,NLCD2013,NLCD2016,TCC2000,TCC2005,TCC2010,WID,WSpptF1,WSpptF2,WSpptF3,WSpptF4,WSpptF5,aspect,b1,burnSev,clusterID,distance,eastness,elevation,facts1987,facts1988,facts1989,facts1990,facts1991,facts1992,facts1993,facts1994,facts1995,facts1996,facts1997,facts1998,facts1999,facts2000,facts2001,facts2002,facts2003,facts2004,facts2005,facts2006,facts2007,facts2008,facts2009,facts2010,facts2011,facts2012,facts2013,facts2014,facts2015,facts2016,facts2017,facts2018,northness,slope,.geo
0_0,680.9073486328125,687.5157470703125,694.1241455078125,700.7325439453125,707.3409423828125,713.9493408203125,720.5577392578125,727.1661376953125,733.7744750976562,740.3828735351562,746.9912719726562,753.5996704101562,760.2080688476562,762.0983276367188,763.988525390625,765.8787841796875,767.76904296875,769.6592407226562,771.5494995117188,773.439697265625,775.3299560546875,777.22021484375,779.1104125976562,781.0006713867188,782.8909301757812,784.7811279296875,786.67138671875,788.5615844726562,790.4518432617188,792.3421020507812,794.2322998046875,796.12255859375,798.0127563476562,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,70,61,69,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,55.99781,551,0,0,0.0,0.8290162016314192,1050,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5592245858620793,6.60471,
0_1,624.3402099609375,626.283203125,628.2261962890625,630.169189453125,632.1121826171875,634.05517578125,635.9981689453125,637.941162109375,639.8841552734375,641.8271484375,643.7701416015625,645.713134765625,647.6561889648438,649.5991821289062,651.5421752929688,653.4851684570312,655.4281616210938,657.3711547851562,659.3141479492188,661.2571411132812,663.2001342773438,665.1431274414062,667.0861206054688,669.0291137695312,670.9721069335938,672.9151000976562,674.8580932617188,676.8010864257812,678.7440795898438,680.6870727539062,682.6300659179688,684.5730590820312,686.5160522460938,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,57,41,58,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,31.385574,557,0,0,0.0,0.5207947123643369,1044,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536819475503435,14.358853,
0_2,768.0548706054688,782.3509521484375,796.64697265625,577.685546875,586.1341552734375,594.5827026367188,603.0313110351562,611.4798583984375,619.9284057617188,628.3770141601562,658.5225219726562,688.6680908203125,689.8775024414062,691.0868530273438,692.2962646484375,693.5056762695312,694.715087890625,695.9244384765625,697.1338500976562,698.34326171875,699.5526123046875,700.7620239257812,701.971435546875,703.1808471679688,704.3901977539062,705.599609375,706.8090209960938,708.0184326171875,709.227783203125,710.4371948242188,711.6466064453125,712.85595703125,714.0653686523438,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,48,65,67,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,34.34383,559,0,0,0.0,0.5641578324214668,1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825666966831974,14.8249235,
0_3,783.2376098632812,791.8329467773438,800.4282836914062,623.009765625,613.5136108398438,604.0174560546875,594.5213012695312,585.025146484375,591.0477905273438,597.0703735351562,603.093017578125,609.1156005859375,615.1382446289062,621.1608276367188,627.1834716796875,633.2060546875,639.2286987304688,645.2512817382812,651.27392578125,657.2965087890625,663.3191528320312,669.3417358398438,675.3643798828125,681.386962890625,687.4096069335938,693.4321899414062,699.454833984375,705.4774169921875,711.5000610351562,717.5226440429688,723.5452880859375,729.56787109375,735.5905151367188,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,66,66,64,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,17.226452,556,0,0,0.0,0.29614904406434545,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9551417401096941,12.193417,
0_4,766.7513427734375,763.6656494140625,760.5799560546875,584.3694458007812,586.0620727539062,587.7547607421875,553.7546997070312,604.6635131835938,610.9972534179688,617.3309936523438,623.6647338867188,629.9984741210938,636.3322143554688,642.6659545898438,648.9996948242188,655.3333740234375,661.6671142578125,668.0008544921875,674.3345947265625,680.6683349609375,687.0020751953125,693.3358154296875,699.6695556640625,706.0032958984375,712.3370361328125,718.6707763671875,725.0045166015625,731.3382568359375,737.6719970703125,744.0057373046875,750.3394775390625,756.6732177734375,763.0069580078125,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,61,70,67,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,358.9059,557,0,0,0.0,-0.01909423719669996,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998176884341846,15.604515,
0_5,796.2732543945312,715.4328002929688,634.59228515625,553.7518310546875,562.9912109375,572.2305297851562,581.4699096679688,590.709228515625,599.9486083984375,609.1879272460938,618.4273071289062,627.6666259765625,636.906005859375,646.1453247070312,655.3847045898438,664.6240234375,673.8633422851562,683.1027221679688,692.342041015625,701.5814208984375,710.8207397460938,720.0601196289062,729.2994384765625,738.538818359375,747.7781372070312,757.0175170898438,766.2568359375,775.4962158203125,784.7355346679688,793.974853515625,803.2142333984375,812.4535522460938,821.6929321289062,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,21,21,21,21,21,21,21,50,67,69,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,-0.0,557,0,0,0.0,-0.0,1070,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1592054,
0_6,757.2393188476562,767.4649047851562,777.6905517578125,372.22406005859375,451.6839904785156,490.1263122558594,528.5686645507812,567.010986328125,605.4533081054688,643.8956298828125,683.5853271484375,687.3671264648438,691.1489868164062,694.9307861328125,698.712646484375,702.4944458007812,706.2763061523438,710.0581665039062,713.8399658203125,717.621826171875,721.4036254882812,725.1854858398438,728.96728515625,732.7491455078125,736.5309448242188,740.3128051757812,744.0946044921875,747.87646484375,751.6583251953125,755.4401245117188,759.2219848632812,763.0037841796875,766.78564453125,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,51,42,42,42,42,42,42,42,67,69,68,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,82.4165,559,0,0,0.0,0.9912535776798055,1051,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319709996059206,17.048367,
0_7,629.2991943359375,641.3189086914062,653.338623046875,287.1676940917969,364.3063049316406,452.1220703125,483.7164611816406,515.3108520507812,546.9052734375,578.4996948242188,610.0941162109375,617.2779541015625,624.4618530273438,631.6456909179688,638.82958984375,646.0134887695312,653.1973266601562,660.3812255859375,667.5651245117188,674.7489624023438,681.932861328125,689.11669921875,696.3005981445312,703.4844970703125,710.6683349609375,717.8522338867188,725.0361328125,732.219970703125,739.4038696289062,746.5877075195312,753.7716064453125,760.9555053710938,768.1393432617188,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,51,42,42,42,42,42,42,42,57,65,70,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,61.714893,559,0,0,0.0,0.8806005572260429,1013,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4738593236533209,18.421635,
0_8,662.7184448242188,695.4937133789062,728.2689819335938,585.8798828125,604.2402954101562,650.372802734375,670.2247314453125,690.07666015625,709.9285888671875,729.780517578125,749.6324462890625,769.484375,770.5416870117188,771.5989379882812,772.65625,773.7135009765625,774.7708129882812,775.828125,776.8853759765625,777.9426879882812,778.9999389648438,780.0572509765625,781.114501953125,782.1718139648438,783.2290649414062,784.286376953125,785.3436889648438,786.4009399414062,787.458251953125,788.5155029296875,789.5728149414062,790.6300659179688,791.6873779296875,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,42,42,42,42,42,42,42,42,76,74,70,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,52.026035,551,0,0,0.0,0.7882904299625823,996,0.0,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153033382238449,13.321022,
0_9,494.7022399902344,555.2290649414062,615.755859375,240.2717742919922,294.892578125,349.51336669921875,404.1341552734375,458.75494384765625,513.375732421875,567.9965209960938,580.0558471679688,592.1151123046875,604.1744384765625,616.2337036132812,628.2930297851562,640.352294921875,652.41162109375,664.4708862304688,676.5302124023438,688.5894775390625,700.6488037109375,712.7080688476562,724.767333984375,736.82666015625,748.8859252929688,760.9452514648438,773.0045166015625,785.0638427734375,797.1231079101562,809.1824340820312,821.24169921875,833.301025390625,845.3602905273438,1987,0000000000000000335f,-0.87,-2.54,-1.65,0.26,-0.77,30.74,26.85,29.48,29.94,27.97,51,42,42,42,42,42,42,42,66,59,68,0,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,1597.3199758529663,72.37665,559,0,0,0.0,0.9530673516787153,957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30275835771142656,13.528466,
