system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,P1984,P1985,P1986,P1987,P1988,P1989,P1990,P1991,P1992,P1993,P1994,P1995,P1996,P1997,P1998,P1999,P2000,P2001,P2002,P2003,P2004,P2005,P2006,P2007,P2008,P2009,P2010,P2011,P2012,P2013,P2014,P2015,P2016,P2017,P2018,P2019,PatchID,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
0,12.44874954,1235.050011,595.5133057,1,100,42,99,92,99,98,49,39.99999619,44,55,35.00000381,45.99999619,45,69,66,70,43,26,91,92,83,98,90,90,61,87,39.99999619,91,74,95,97,97,87,96,86,79,83,100,1448181264,0,0.2242314647,505544340065000000,130,310.8615453,4,-0.7562927353,873,551,7043,,,0.654233367,1,0,29.64384151,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064297375953,41.21682399989385]}"
1,12.44874954,1235.050011,595.5133057,1,100,42,96,78,87,88,42,35.00000381,32,44,32,39,42,64,65,98,52,26,56,90,65,82,87,90,57,82,39.99999619,90,47.00000381,97,96,97,90,88,88,75,88,100,1448181264,0.001808318264,0.2441229656,505544340065000000,130,306.9512196,3,-0.7991475928,883,551,7027,,,0.6011348642,1,0,27.09632829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028509096725,41.21682487150729]}"
2,12.44874954,1235.050011,595.5133057,1,86,42,87,82,89,88,41.00000381,33,39.99999619,48,31,35.00000381,42,94,91,73,60.00000381,43,68,52,87,54.00000381,65,91,56,89,39,94,45.99999619,95,96,100,95,86,100,82,88,100,1448181264,0.003616636528,0.2658227848,505544340065000000,94,318.4505375,3,-0.6632663628,892,551,7027,,,0.7483834124,1,1,24.42929015,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992720815926,41.216825742008574]}"
3,12.44874954,1235.050011,595.5133057,1,86,42,96,87,90,98,35.00000381,26.99999809,26.99999809,36,31,13,13,61,58,37,20.99999809,25,32,51,52.99999619,20.99999809,32,39.99999619,39.99999619,49,20.99999809,75,26,58,20.99999809,76,82,96,52,31,26.99999809,86,1448181264,0.007233273056,0.2857142857,505544340065000000,94,3.900063008,3,0.06801638781,897,551,7043,,,0.997684204,1,1,32.32515664,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2795693253356,41.21682661139765]}"
4,12.44874954,1235.050011,602.7800293,1,100,42,35.00000381,33,58.99999619,49,31,30.00000191,27.99999619,32,25,19,19.99999809,83,41.00000381,42,19,8.999997139,25,38,49,26.99999809,30.00000191,30.00000191,26,16.00000191,25,41.00000381,57,92,97,77,73,42,95,96,97,99,-1279025289,0.01627486438,0.3291139241,505544340065000000,141,315.8694647,4,-0.6962954166,938,551,7043,,,0.7177553154,1,1,39.84408999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670626218391,41.21683352647147]}"
5,12.44874954,1235.050011,602.7800293,1,100,42,96,86,98,95,43,38,36,38,25,12,26.99999809,81,58,36,20.99999809,26,35.00000381,48,45.99999619,30.00000191,48,65,39,33.99999619,39,49,79,95,92,87,90,67,100,98,100,100,-1279025289,0.01446654611,0.3254972875,505544340065000000,141,318.0349929,3,-0.6686766128,951,551,7030,,,0.7435533522,1,1,36.50914413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634837921995,41.216834385850845]}"
6,12.44874954,1235.050011,595.5133057,1,100,42,98,99,97,99,55,64,51,64,39,41.00000381,56,97,76,73,83,41.00000381,63,91,90,82,91,91,62,93,39,93,87,96,96,94,93,95,100,77,88,100,1448181264,0.001808318264,0.2043399638,505544340065000000,130,316.3033471,4,-0.6908401759,859,551,7043,,,0.7230075044,1,0,35.62022505,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064412882114,41.21709423360893]}"
7,12.44874954,1235.050011,595.5133057,1,100,42,100,96,100,99,52.99999619,48,50,58,41.00000381,68,64,96,97,95,63,41.00000381,93,89,80,89,85,87,61,58.99999619,39,88,50,97,95,74,88,85,62,56,67,88,1448181264,0.005424954792,0.2224231465,505544340065000000,130,318.4504167,4,-0.6632679404,870,551,7043,,,0.7483820142,1,0,35.51931447,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028624455591,41.21709510523062]}"
8,12.44874954,1235.050011,595.5133057,0,41.00000381,42,97,86,97,99,44,36,44,54.00000381,33,27.99999619,43,64,82,60.00000381,62,26,69,56,73,58.99999619,73,88,56,81,39,94,52,96,96,97,99,89,100,75,88,100,1448181264,0.00904159132,0.2441229656,505544340065000000,94,336.7274001,4,-0.3951062366,881,551,7043,,,0.9186354346,1,0,30.9271889,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992836027505,41.217095975740115]}"
9,12.44874954,1235.050011,595.5133057,0,41.00000381,42,97,84,89,100,41.00000381,26.99999809,26.99999809,29.00000191,11.00000191,7.999998093,7.999998093,13.99999809,24,11.00000191,10.00000191,7.999998093,8.999997139,26,44,23.00000191,32,31,25,26,20.99999809,72,31,24,26.99999809,42,72,68,33,36,37,41.00000381,1448181264,0.01265822785,0.2658227848,505544340065000000,94,8.40248869,4,0.1461259983,878,551,7043,,,0.9892659868,1,0,30.50161431,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957047597847,41.21709684513741]}"
10,12.44874954,1235.050011,595.5133057,0,41.00000381,42,99,90,92,99,38,27.99999619,13,18,10.00000191,10.00000191,10.00000191,7.999998093,7.999998093,7.999998093,10.00000191,1.999998093,10.00000191,8.999997139,16.00000191,2.999997139,13.99999809,12,12,10.00000191,19,33,16.00000191,32,38,14.99999809,35.00000381,19.99999809,33.99999619,33,35.00000381,35.00000381,1448181264,0.01446654611,0.2857142857,505544340065000000,71,6.15213042,3,0.1071687231,877,551,7043,,,0.9942408485,1,0,31.0654712,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921259166617,41.217097713422504]}"
11,12.44874954,1235.050011,602.7800293,1,97,42,97,98,94,98,44,39.99999619,26.99999809,38,26.99999809,26,26.99999809,83,60.00000381,31,22.00000381,19,26,66,60.00000381,38,43,57,45.99999619,50,45,60.00000381,93,90,93,95,98,94,97,92,98,99,-1973525326,0.01808318264,0.3254972875,505544340065000000,141,312.071312,4,-0.74231143,919,551,7043,,,0.6700550282,1,1,35.93332385,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670740104342,41.2171037602766]}"
12,12.44874954,1235.050011,602.7800293,1,97,42,100,99,99,99,45,35.00000381,32,38,26.99999809,14.99999809,18,82,48,29.00000191,13.99999809,23.00000191,29.00000191,48,35.00000381,29.00000191,44,49,39.99999619,26.99999809,39,62,70,90,91,68,71,66,98,99,95,97,-1279025289,0.01808318264,0.321880651,505544340065000000,141,321.9745126,4,-0.6160119529,931,551,7028,,,0.787736805,1,0,34.94163334,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634951660654,41.2171046196641]}"
13,12.44874954,1235.050011,602.7800293,0,58.99999619,42,100,90,99,99,43,36,25,29.00000191,24,8.999997139,7.999998093,12,8.999997139,13,7.999998093,6,7.999998093,27.99999619,18,8.999997139,13,10.00000191,13,7.999998093,7.999998093,10.00000191,12,47.00000381,23.00000191,6.999999046,11.00000191,8.999997139,24,35.00000381,13.99999809,58.99999619,-1279025289,0.0198915009,0.3146473779,505544340065000000,141,330.3279104,4,-0.4950354743,939,551,7028,,,0.8688727635,1,0,33.10744736,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599163215419,41.2171054779394]}"
14,12.44874954,1235.050011,609.2932739,0,12,21,78,87,66,87,16.00000191,6.999999046,8.999997139,8.999997139,8.999997139,1.999998093,1.999998093,6,6,7.999998093,0.9999990463,0.9999990463,1.999998093,7.999998093,0.9999990463,0.9999990463,5.000000954,1.999998093,6,1.999998093,1.999998093,13,2.999997139,13,2.999997139,37,19.99999809,51,10.00000191,19,13,12,-1279025289,0.03797468354,0.3001808318,505544340091000000,136,106.3057174,4,0.9597772801,859,551,7043,,,-0.2807624844,1,1,21.97876708,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2727706713894,41.21711315236807]}"
15,12.44874954,1235.050011,595.5133057,1,100,42,100,99,97,95,56,55,64,67,52.99999619,64,55,100,94,96,88,42,97,94,88,94,89,91,65,83,39,92,91,97,98,98,90,97,100,91,89,100,1448181264,0.005424954792,0.1862567812,505544340065000000,110,327.1076456,4,-0.5430624059,841,551,7043,,,0.8396923385,1,0,35.50003574,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064528389845,41.217364467311256]}"
16,12.44874954,1235.050011,595.5133057,1,100,42,100,98,98,100,48,45,63,62,56,64,91,99,99,99,92,45,94,90,89,91,88,87,80,97,39,91,86,97,88,99,94,86,100,76,100,100,1448181264,0.01084990958,0.2025316456,505544340065000000,110,329.9083009,4,-0.5013853898,850,551,7043,,,0.8652240697,1,0,36.11689198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028739816031,41.217365338941185]}"
17,12.44874954,1235.050011,595.5133057,0,36,42,100,93,99,100,49,35.00000381,45,52.99999619,33.99999619,33.99999619,36,58,52.99999619,61,54.00000381,25,72,58.99999619,76,84,90,92,76,83,39,91,83,95,89,99,99,93,100,80,100,100,1448181264,0.01446654611,0.226039783,505544340065000000,74,342.7170768,4,-0.2970902979,858,551,7043,,,0.9548493886,1,0,38.54788205,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992951240651,41.217366209458916]}"
18,12.44874954,1235.050011,595.5133057,0,36,42,98,79,95,100,41.00000381,25,26.99999809,26,11.00000191,10.00000191,7.999998093,12,8.999997139,7.999998093,10.00000191,6.999999046,7.999998093,11.00000191,27.99999619,11.00000191,19.99999809,26,35.00000381,32,29.00000191,83,25,29.00000191,33,44,71,91,32,35.00000381,37,36,1448181264,0.01627486438,0.2441229656,505544340065000000,74,5.991450884,4,0.1043800693,861,551,7043,,,0.994537481,1,0,31.73736829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957162663695,41.21736707886442]}"
19,12.44874954,1235.050011,595.5133057,0,39.99999619,42,98,87,95,99,37,26.99999809,13,18,10.00000191,4.000001907,10.00000191,7.999998093,7.999998093,7.999998093,10.00000191,1.999998093,10.00000191,7.999998093,10.00000191,2.999997139,7.999998093,10.00000191,6,5.000000954,11.00000191,22.00000381,13.99999809,19.99999809,26.99999809,16.00000191,30.00000191,19,33.99999619,35.00000381,31,36,-1973525326,0.01627486438,0.2585895118,505544340065000000,89,14.88942998,3,0.2569545101,858,551,7043,,,0.9664234992,1,0,30.38123742,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921374085176,41.217367947157726]}"
