system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
0,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.0,0.22423147,5.05544348E17,130.0,310.86154,4.0,-0.75629276,873.0,551.0,7043.0,,,0.6542334,1.0,0.0,29.64384,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064297375953,41.21682399989385]}"
1,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.0018083183,0.24412297,5.05544348E17,130.0,306.95123,3.0,-0.7991476,883.0,551.0,7027.0,,,0.60113484,1.0,0.0,27.096329,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028509096725,41.21682487150729]}"
2,12.44875,1235.05,595.5133,1.0,86.0,42.0,0.0036166366,0.2658228,5.05544348E17,94.0,318.45053,3.0,-0.66326636,892.0,551.0,7027.0,,,0.7483834,1.0,1.0,24.42929,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992720815926,41.216825742008574]}"
3,12.44875,1235.05,595.5133,1.0,86.0,42.0,0.0072332732,0.2857143,5.05544348E17,94.0,3.900063,3.0,0.06801639,897.0,551.0,7043.0,,,0.9976842,1.0,1.0,32.325157,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2795693253356,41.21682661139765]}"
4,12.44875,1235.05,602.78,1.0,100.0,42.0,0.016274864,0.32911393,5.05544348E17,141.0,315.86948,4.0,-0.69629544,938.0,551.0,7043.0,,,0.7177553,1.0,1.0,39.84409,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670626218391,41.21683352647147]}"
5,12.44875,1235.05,602.78,1.0,100.0,42.0,0.0144665465,0.3254973,5.05544348E17,141.0,318.035,3.0,-0.6686766,951.0,551.0,7030.0,,,0.74355334,1.0,1.0,36.509144,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634837921995,41.216834385850845]}"
6,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.0018083183,0.20433997,5.05544348E17,130.0,316.30334,4.0,-0.6908402,859.0,551.0,7043.0,,,0.7230075,1.0,0.0,35.620224,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064412882114,41.21709423360893]}"
7,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.005424955,0.22242315,5.05544348E17,130.0,318.4504,4.0,-0.66326797,870.0,551.0,7043.0,,,0.74838203,1.0,0.0,35.519314,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028624455591,41.21709510523062]}"
8,12.44875,1235.05,595.5133,0.0,41.000004,42.0,0.009041592,0.24412297,5.05544348E17,94.0,336.7274,4.0,-0.39510623,881.0,551.0,7043.0,,,0.9186354,1.0,0.0,30.927189,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992836027505,41.217095975740115]}"
9,12.44875,1235.05,595.5133,0.0,41.000004,42.0,0.012658228,0.2658228,5.05544348E17,94.0,8.402489,4.0,0.146126,878.0,551.0,7043.0,,,0.989266,1.0,0.0,30.501614,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957047597847,41.21709684513741]}"
10,12.44875,1235.05,595.5133,0.0,41.000004,42.0,0.0144665465,0.2857143,5.05544348E17,71.0,6.1521306,3.0,0.10716873,877.0,551.0,7043.0,,,0.9942408,1.0,0.0,31.065472,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921259166617,41.217097713422504]}"
11,12.44875,1235.05,602.78,1.0,97.0,42.0,0.018083183,0.3254973,5.05544348E17,141.0,312.07132,4.0,-0.7423114,919.0,551.0,7043.0,,,0.67005503,1.0,1.0,35.933323,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670740104342,41.2171037602766]}"
12,12.44875,1235.05,602.78,1.0,97.0,42.0,0.018083183,0.32188064,5.05544348E17,141.0,321.97452,4.0,-0.616012,931.0,551.0,7028.0,,,0.78773683,1.0,0.0,34.941635,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634951660654,41.2171046196641]}"
13,12.44875,1235.05,602.78,0.0,58.999996,42.0,0.0198915,0.31464738,5.05544348E17,141.0,330.3279,4.0,-0.49503547,939.0,551.0,7028.0,,,0.86887276,1.0,0.0,33.10745,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599163215419,41.2171054779394]}"
14,12.44875,1235.05,609.2933,0.0,12.0,21.0,0.03797468,0.30018082,5.05544348E17,136.0,106.30572,4.0,0.9597773,859.0,551.0,7043.0,,,-0.2807625,1.0,1.0,21.978767,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2727706713894,41.21711315236807]}"
15,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.005424955,0.18625678,5.05544348E17,110.0,327.10764,4.0,-0.5430624,841.0,551.0,7043.0,,,0.83969235,1.0,0.0,35.500034,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064528389845,41.217364467311256]}"
16,12.44875,1235.05,595.5133,1.0,100.0,42.0,0.01084991,0.20253165,5.05544348E17,110.0,329.9083,4.0,-0.5013854,850.0,551.0,7043.0,,,0.86522406,1.0,0.0,36.116894,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028739816031,41.217365338941185]}"
17,12.44875,1235.05,595.5133,0.0,36.0,42.0,0.0144665465,0.22603978,5.05544348E17,74.0,342.71707,4.0,-0.2970903,858.0,551.0,7043.0,,,0.95484936,1.0,0.0,38.547882,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992951240651,41.217366209458916]}"
18,12.44875,1235.05,595.5133,0.0,36.0,42.0,0.016274864,0.24412297,5.05544348E17,74.0,5.991451,4.0,0.10438007,861.0,551.0,7043.0,,,0.9945375,1.0,0.0,31.737368,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957162663695,41.21736707886442]}"
19,12.44875,1235.05,595.5133,0.0,39.999996,42.0,0.016274864,0.2585895,5.05544348E17,89.0,14.88943,3.0,0.25695452,858.0,551.0,7043.0,,,0.9664235,1.0,0.0,30.381237,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921374085176,41.217367947157726]}"
20,12.44875,1235.05,602.78,0.0,32.0,42.0,0.016274864,0.278481,5.05544348E17,89.0,3.8028834,4.0,0.066324115,854.0,549.0,7043.0,,,0.99779814,1.0,0.0,32.98114,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885585505092,41.21736881433882]}"
21,12.44875,1235.05,602.78,0.0,32.0,42.0,0.016274864,0.29475588,5.05544348E17,89.0,358.0477,4.0,-0.034067634,856.0,551.0,7043.0,,,0.9994195,1.0,0.0,32.28018,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849796923445,41.21736968040772]}"
22,12.44875,1235.05,602.78,1.0,99.0,42.0,0.016274864,0.30379745,5.05544348E17,116.0,338.0579,3.0,-0.37366956,858.0,551.0,7043.0,,,0.9275619,1.0,0.0,29.938269,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814008340239,41.21737054536439]}"
23,12.44875,1235.05,602.78,1.0,100.0,42.0,0.018083183,0.31103075,5.05544348E17,116.0,319.48212,4.0,-0.64968526,865.0,551.0,7043.0,,,0.7602033,1.0,1.0,30.804752,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778219755471,41.217371409208866]}"
24,12.44875,1235.05,602.78,1.0,100.0,42.0,0.018083183,0.31283906,5.05544348E17,131.0,311.8442,4.0,-0.7449615,876.0,551.0,7043.0,,,0.66710746,1.0,1.0,31.24269,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742431169149,41.217372271941116]}"
