eco_type_code,eco_type_description
549,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
550,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
551,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
552,Mediterranean California Mesic Mixed Conifer Forest and Woodland
553,Mediterranean California Mixed Oak Woodland
554,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland
555,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
556,Mediterranean California Red Fir Forest
557,Mediterranean California Subalpine Woodland
558,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
559,Mediterranean California Mixed Evergreen Forest
