year,classification
"Jan 1, 1984",91.755
"Jan 1, 1985",72.371
"Jan 1, 1986",94.817
"Jan 1, 1987",90.984
"Jan 1, 1988",37.247
"Jan 1, 1989",27.857
"Jan 1, 1990",13.661
"Jan 1, 1991",9.977
"Jan 1, 1992",8.233
"Jan 1, 1993",3.846
"Jan 1, 1994",6.569
"Jan 1, 1995",7.673
"Jan 1, 1996",6.635
"Jan 1, 1997",9.132
"Jan 1, 1998",8.078
"Jan 1, 1999",4.693
"Jan 1, 2000",6.066
"Jan 1, 2001",9.067
"Jan 1, 2002",5.178
"Jan 1, 2003",3.022
"Jan 1, 2004",8.203
"Jan 1, 2005",5.314
"Jan 1, 2006",5.542
"Jan 1, 2007",4.631
"Jan 1, 2008",3.631
"Jan 1, 2009",17.524
"Jan 1, 2010",8.634
"Jan 1, 2011",16.063
"Jan 1, 2013",10.894
"Jan 1, 2014",20.841
"Jan 1, 2015",13.178
"Jan 1, 2016",19.943
"Jan 1, 2017",22.124
"Jan 1, 2018",22.567
"Jan 1, 2019",25.938
