year,classification
"Jan 1, 1984",97.377
"Jan 1, 1985",96.132
"Jan 1, 1986",97.841
"Jan 1, 1987",98.445
"Jan 1, 1988",24.505
"Jan 1, 1989",24.032
"Jan 1, 1990",10.99
"Jan 1, 1991",18.327
"Jan 1, 1992",14.225
"Jan 1, 1993",12.22
"Jan 1, 1994",14.138
"Jan 1, 1995",35.128
"Jan 1, 1996",32.553
"Jan 1, 1997",41.074
"Jan 1, 1998",31.812
"Jan 1, 1999",23.34
"Jan 1, 2000",51.026
"Jan 1, 2001",50.472
"Jan 1, 2002",65.543
"Jan 1, 2003",44.749
"Jan 1, 2004",76.3
"Jan 1, 2005",75.566
"Jan 1, 2006",63.78
"Jan 1, 2007",60.767
"Jan 1, 2008",30.785
"Jan 1, 2009",85.063
"Jan 1, 2010",84.591
"Jan 1, 2011",91.263
"Jan 1, 2013",89.131
"Jan 1, 2014",95.575
"Jan 1, 2015",77.777
"Jan 1, 2016",99.581
"Jan 1, 2017",91.508
"Jan 1, 2018",98.285
"Jan 1, 2019",99.818
