system:index,AvGTemp,AvGppt,CWD,Conifer2019,ConiferProb2019,NLCD2016,SAP_SC,SAP_burn,SUID,SolarLoad,aspect,burnSev,eastness,elevation,forestType,landfire2016,latitude_209564535,longitude_209564535,northness,plantedEver,plantedFirst6Yrs,slope,wilderness,.geo
0,12.44874954,1235.050011,595.5133057,1,100,42,0,0.2242314647,5.06E+17,130,310.8615453,4,-0.7562927353,873,551,7043,,,0.654233367,1,0,29.64384151,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064297375953,41.21682399989385]}"
1,12.44874954,1235.050011,595.5133057,1,100,42,0.001808318264,0.2441229656,5.06E+17,130,306.9512196,3,-0.7991475928,883,551,7027,,,0.6011348642,1,0,27.09632829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028509096725,41.21682487150729]}"
2,12.44874954,1235.050011,595.5133057,1,86,42,0.003616636528,0.2658227848,5.06E+17,94,318.4505375,3,-0.6632663628,892,551,7027,,,0.7483834124,1,1,24.42929015,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992720815926,41.216825742008574]}"
3,12.44874954,1235.050011,595.5133057,1,86,42,0.007233273056,0.2857142857,5.06E+17,94,3.900063008,3,0.06801638781,897,551,7043,,,0.997684204,1,1,32.32515664,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2795693253356,41.21682661139765]}"
4,12.44874954,1235.050011,602.7800293,1,100,42,0.01627486438,0.3291139241,5.06E+17,141,315.8694647,4,-0.6962954166,938,551,7043,,,0.7177553154,1,1,39.84408999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670626218391,41.21683352647147]}"
5,12.44874954,1235.050011,602.7800293,1,100,42,0.01446654611,0.3254972875,5.06E+17,141,318.0349929,3,-0.6686766128,951,551,7030,,,0.7435533522,1,1,36.50914413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634837921995,41.216834385850845]}"
6,12.44874954,1235.050011,595.5133057,1,100,42,0.001808318264,0.2043399638,5.06E+17,130,316.3033471,4,-0.6908401759,859,551,7043,,,0.7230075044,1,0,35.62022505,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064412882114,41.21709423360893]}"
7,12.44874954,1235.050011,595.5133057,1,100,42,0.005424954792,0.2224231465,5.06E+17,130,318.4504167,4,-0.6632679404,870,551,7043,,,0.7483820142,1,0,35.51931447,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028624455591,41.21709510523062]}"
8,12.44874954,1235.050011,595.5133057,0,41.00000381,42,0.00904159132,0.2441229656,5.06E+17,94,336.7274001,4,-0.3951062366,881,551,7043,,,0.9186354346,1,0,30.9271889,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992836027505,41.217095975740115]}"
9,12.44874954,1235.050011,595.5133057,0,41.00000381,42,0.01265822785,0.2658227848,5.06E+17,94,8.40248869,4,0.1461259983,878,551,7043,,,0.9892659868,1,0,30.50161431,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957047597847,41.21709684513741]}"
10,12.44874954,1235.050011,595.5133057,0,41.00000381,42,0.01446654611,0.2857142857,5.06E+17,71,6.15213042,3,0.1071687231,877,551,7043,,,0.9942408485,1,0,31.0654712,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921259166617,41.217097713422504]}"
11,12.44874954,1235.050011,602.7800293,1,97,42,0.01808318264,0.3254972875,5.06E+17,141,312.071312,4,-0.74231143,919,551,7043,,,0.6700550282,1,1,35.93332385,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670740104342,41.2171037602766]}"
12,12.44874954,1235.050011,602.7800293,1,97,42,0.01808318264,0.321880651,5.06E+17,141,321.9745126,4,-0.6160119529,931,551,7028,,,0.787736805,1,0,34.94163334,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27634951660654,41.2171046196641]}"
13,12.44874954,1235.050011,602.7800293,0,58.99999619,42,0.0198915009,0.3146473779,5.06E+17,141,330.3279104,4,-0.4950354743,939,551,7028,,,0.8688727635,1,0,33.10744736,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599163215419,41.2171054779394]}"
14,12.44874954,1235.050011,609.2932739,0,12,21,0.03797468354,0.3001808318,5.06E+17,136,106.3057174,4,0.9597772801,859,551,7043,,,-0.2807624844,1,1,21.97876708,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2727706713894,41.21711315236807]}"
15,12.44874954,1235.050011,595.5133057,1,100,42,0.005424954792,0.1862567812,5.06E+17,110,327.1076456,4,-0.5430624059,841,551,7043,,,0.8396923385,1,0,35.50003574,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064528389845,41.217364467311256]}"
16,12.44874954,1235.050011,595.5133057,1,100,42,0.01084990958,0.2025316456,5.06E+17,110,329.9083009,4,-0.5013853898,850,551,7043,,,0.8652240697,1,0,36.11689198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028739816031,41.217365338941185]}"
17,12.44874954,1235.050011,595.5133057,0,36,42,0.01446654611,0.226039783,5.06E+17,74,342.7170768,4,-0.2970902979,858,551,7043,,,0.9548493886,1,0,38.54788205,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27992951240651,41.217366209458916]}"
18,12.44874954,1235.050011,595.5133057,0,36,42,0.01627486438,0.2441229656,5.06E+17,74,5.991450884,4,0.1043800693,861,551,7043,,,0.994537481,1,0,31.73736829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957162663695,41.21736707886442]}"
19,12.44874954,1235.050011,595.5133057,0,39.99999619,42,0.01627486438,0.2585895118,5.06E+17,89,14.88942998,3,0.2569545101,858,551,7043,,,0.9664234992,1,0,30.38123742,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921374085176,41.217367947157726]}"
20,12.44874954,1235.050011,602.7800293,0,32,42,0.01627486438,0.2784810127,5.06E+17,89,3.802883384,4,0.06632411421,854,549,7043,,,0.9977981318,1,0,32.9811401,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885585505092,41.21736881433882]}"
21,12.44874954,1235.050011,602.7800293,0,32,42,0.01627486438,0.294755877,5.06E+17,89,358.0476905,4,-0.03406763553,856,551,7043,,,0.9994195296,1,0,32.28018164,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849796923445,41.21736968040772]}"
22,12.44874954,1235.050011,602.7800293,1,99,42,0.01627486438,0.3037974684,5.06E+17,116,338.0578924,3,-0.373669563,858,551,7043,,,0.9275618889,1,0,29.9382682,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814008340239,41.21737054536439]}"
23,12.44874954,1235.050011,602.7800293,1,100,42,0.01808318264,0.3110307414,5.06E+17,116,319.4821252,4,-0.6496852431,865,551,7043,,,0.7602033182,1,1,30.80475148,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778219755471,41.217371409208866]}"
24,12.44874954,1235.050011,602.7800293,1,100,42,0.01808318264,0.3128390597,5.06E+17,131,311.8442064,4,-0.7449615171,876,551,7043,,,0.6671074412,1,1,31.24268856,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742431169149,41.217372271941116]}"
25,12.44874954,1235.050011,602.7800293,1,100,42,0.01808318264,0.3146473779,5.06E+17,131,303.0093285,3,-0.8385818822,899,551,7043,,,0.5447755748,1,0,29.44806413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2770664258127,41.21737313356115]}"
26,12.44874954,1235.050011,602.7800293,1,99,42,0.01808318264,0.3164556962,5.06E+17,138,308.4496925,4,-0.7831544429,908,552,7043,,,0.6218272418,1,0,26.31787929,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670853991842,41.21737399406898]}"
27,12.44874954,1235.050011,602.7800293,1,99,52,0.02169981917,0.3182640145,5.06E+17,138,312.5945712,4,-0.7361612177,917,551,7030,,,0.6768062216,1,0,27.75304823,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2763506540086,41.21737485346461]}"
28,12.44874954,1235.050011,602.7800293,0,6.999999046,52,0.0253164557,0.3128390597,5.06E+17,138,319.07451,4,-0.6550770158,926,551,7027,,,0.7555621108,1,0,26.23271835,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599276808331,41.217375711748026]}"
29,12.44874954,1235.050011,609.2932739,0,31,21,0.05063291139,0.3182640145,5.06E+17,159,121.4321733,4,0.8532581004,866,551,7043,,,-0.5214888437,1,1,21.97599099,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27277179406204,41.21738338624924]}"
30,12.44874954,1235.050011,595.5133057,1,100,42,0.01084990958,0.1735985533,5.06E+17,110,327.1076456,4,-0.5430624059,841,551,7043,,,0.8396923385,1,0,35.50003574,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064643899148,41.21763470100083]}"
31,12.44874954,1235.050011,595.5133057,1,95,42,0.01446654611,0.1862567812,5.06E+17,110,329.9083009,4,-0.5013853898,850,551,7043,,,0.8652240697,1,0,36.11689198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.2802885517804,41.217635572639004]}"
32,12.44874954,1235.050011,595.5133057,1,88,42,0.01627486438,0.2043399638,5.06E+17,74,342.7170768,4,-0.2970902979,858,551,7043,,,0.9548493886,1,0,38.54788205,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993066455362,41.21763644316495]}"
33,12.44874954,1235.050011,595.5133057,1,88,42,0.01627486438,0.2224231465,5.06E+17,74,5.991450884,4,0.1043800693,861,551,7043,,,0.994537481,1,0,31.73736829,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957277731113,41.21763731257869]}"
34,12.44874954,1235.050011,595.5133057,0,62,42,0.01627486438,0.2386980108,5.06E+17,89,14.88942998,4,0.2569545101,858,551,7043,,,0.9664234992,1,0,30.38123742,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921489005297,41.2176381808802]}"
35,12.44874954,1235.050011,602.7800293,0,39.99999619,42,0.01627486438,0.2567811935,5.06E+17,89,14.20985513,4,0.2454741311,835,551,7043,,,0.9694031416,1,0,35.04372027,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885700277918,41.21763904806949]}"
36,12.44874954,1235.050011,602.7800293,0,39.99999619,42,0.01627486438,0.2784810127,5.06E+17,89,356.2895918,4,-0.06471358535,834,551,7043,,,0.9979038791,1,0,33.62758919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27849911548975,41.21763991414657]}"
37,12.44874954,1235.050011,602.7800293,1,81,42,0.01808318264,0.287522604,5.06E+17,116,331.3034291,3,-0.4801710009,840,551,7028,,,0.8771749027,1,0,32.1062536,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814122818471,41.217640779111406]}"
38,12.44874954,1235.050011,602.7800293,0,66,42,0.01808318264,0.2893309222,5.06E+17,116,316.303104,4,-0.6908432432,851,551,7043,,,0.7230045735,1,0,35.62033501,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778334086409,41.217641642964054]}"
39,12.44874954,1235.050011,602.7800293,0,66,42,0.01808318264,0.2965641953,5.06E+17,131,314.1748914,4,-0.7172160564,863,551,7043,,,0.6968508653,1,0,35.75866663,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742545352793,41.21764250570446]}"
40,12.44874954,1235.050011,602.7800293,1,98,42,0.01808318264,0.3019891501,5.06E+17,131,305.8338817,4,-0.8107177639,887,552,7043,,,0.5854371933,1,0,33.56895685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27706756617619,41.21764336733265]}"
41,12.44874954,1235.050011,602.7800293,1,99,42,0.02169981917,0.3110307414,5.06E+17,138,304.3654027,4,-0.8254544954,900,551,7043,,,0.564468667,1,0,29.8367635,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27670967880893,41.21764422784862]}"
42,12.44874954,1235.050011,602.7800293,1,99,52,0.02712477396,0.3074141049,5.06E+17,138,313.2365328,4,-0.7285320002,909,551,7027,,,0.6850117697,1,0,25.29670693,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635179142617,41.21764508725238]}"
43,12.44874954,1235.050011,602.7800293,0,6.999999046,52,0.03254972875,0.3074141049,5.06E+17,138,318.4501751,4,-0.6632710957,916,551,7027,,,0.7483792178,1,0,24.42941107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27599390402791,41.2176459455439]}"
44,12.44874954,1235.050011,580.5632935,1,100,42,0.01446654611,0.1537070524,5.06E+17,110,330.7619163,4,-0.4884397698,822,551,7043,,,0.8725976113,1,0,35.18181761,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28064759410024,41.217904934677634]}"
45,12.44874954,1235.050011,580.5632935,1,100,42,0.01627486438,0.1681735986,5.06E+17,110,337.7529448,4,-0.3786010478,831,551,7043,,,0.9255599638,1,0,34.29783934,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28028970541618,41.217905806324055]}"
46,12.44874954,1235.050011,580.5632935,1,85,42,0.01627486438,0.1826401447,5.06E+17,74,345.7176453,4,-0.2467005748,834,551,7043,,,0.9690917533,1,0,38.13513979,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27993181671641,41.21790667685824]}"
47,12.44874954,1235.050011,580.5632935,1,85,42,0.01627486438,0.2007233273,5.06E+17,74,356.5419379,4,-0.06031793347,840,551,7043,,,0.9981792158,1,0,35.51017905,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27957392800096,41.21790754628019]}"
48,12.44874954,1235.050011,580.5632935,0,37,42,0.01627486438,0.2188065099,5.06E+17,89,8.993251486,4,0.1563181303,842,551,7043,,,0.9877067592,1,0,34.54151814,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27921603926985,41.21790841458992]}"
49,12.44874954,1235.050011,586.2033081,0,38,42,0.01627486438,0.2368896926,5.06E+17,89,14.20985513,4,0.2454741311,835,551,7043,,,0.9694031416,1,0,35.04372027,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27885815052306,41.217909281787406]}"
50,12.44874954,1235.050011,586.2033081,0,38,42,0.01808318264,0.2549728752,5.06E+17,89,356.2895918,4,-0.06471358535,834,551,7028,,,0.9979038791,1,0,33.62758919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27850026176066,41.21791014787267]}"
51,12.44874954,1235.050011,586.2033081,0,45,42,0.01808318264,0.2640144665,5.06E+17,116,331.3034291,4,-0.4801710009,840,559,7028,,,0.8771749027,1,0,32.1062536,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27814237298264,41.21791101284569]}"
52,12.44874954,1235.050011,586.2033081,0,61,42,0.01808318264,0.2730560579,5.06E+17,116,316.303104,4,-0.6908432432,851,559,7043,,,0.7230045735,1,0,35.62033501,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27778448418904,41.21791187670649]}"
53,12.44874954,1235.050011,586.2033081,0,61,42,0.01808318264,0.2784810127,5.06E+17,131,314.1748914,4,-0.7172160564,863,559,7043,,,0.6968508653,1,0,35.75866663,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27742659537991,41.217912739455045]}"
54,12.44874954,1235.050011,586.2033081,1,99,42,0.02169981917,0.2911392405,5.06E+17,131,305.8338817,4,-0.8107177639,887,559,7043,,,0.5854371933,1,0,33.56895685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27706870655518,41.21791360109138]}"
55,12.44874954,1235.050011,586.2033081,1,98,42,0.02712477396,0.2965641953,5.06E+17,138,304.3654027,4,-0.8254544954,900,559,7043,,,0.564468667,1,0,29.8367635,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27671081771497,41.21791446161549]}"
56,12.44874954,1235.050011,602.7800293,1,98,42,0.03254972875,0.2929475588,5.06E+17,138,313.2365328,4,-0.7285320002,909,552,7043,,,0.6850117697,1,0,25.29670693,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.27635292885918,41.21791532102736]}"
